HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gid,Input.number,Input.side,Answer.TP,Answer.distro,Answer.long,Answer.medium,Answer.player,Answer.short,Approve,Reject
30F94FBDNQJD7QEZB9WA9TARESHTBF,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:46 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:46 GMT 2014,,,3CP1TO84PT0KLV17HNQ3U4WSG5Z52B,A38ZTNGQ9ZZB0J,Approved,Sun Mar 30 12:47:28 GMT 2014,Sun Mar 30 12:50:15 GMT 2014,Sun Mar 30 17:50:15 PDT 2014,Sun Mar 30 12:03:18 PDT 2014,,,167,100% (3/3),100% (3/3),100% (3/3),2011855,First,Home (left),93:06:00,"0,2,1,3,1,2,0,3,0,0,0,0,0,2","12,24","1,1",1,"1,1",,
3NSCTNUR2YM63EYH4ZEGB2K7G7A5A5,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:46 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:46 GMT 2014,,,3X1FV8S5JXQRYJOTMTT506KS3C3GV9,A2UZCL6H1RWDSM,Approved,Sun Mar 30 11:33:56 GMT 2014,Sun Mar 30 11:41:18 GMT 2014,Sun Mar 30 16:41:18 PDT 2014,Sun Mar 30 12:03:18 PDT 2014,,,442,100% (78/78),100% (78/78),100% (78/78),2011855,Second,Home (left),93:06:00,"1,0,12,2,4,1,3,3,3,1,9,3,2,2","13,17","21,24",4,"12,13",,
37OPIVELUT2IJ7IC51FP0ZNXLG1AHR,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:46 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:46 GMT 2014,,,3UOUJI6MTDD27QUJ6DJ4S6I4SVLUXL,A2UZCL6H1RWDSM,Approved,Sun Mar 30 07:28:29 GMT 2014,Sun Mar 30 07:32:19 GMT 2014,Sun Mar 30 12:32:19 PDT 2014,Sun Mar 30 12:03:18 PDT 2014,,,230,100% (78/78),100% (78/78),100% (78/78),2011855,Third,Home (left),93:06:00,"1,7,0,3,0,8,6,0,3,2,0,2,4,3","6,6","19,23",5,"14,18",,
3BAWBGQGYKY5I6FY3NK959CGSN67VN,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:46 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:46 GMT 2014,,,3NKQQ8O39Y4O9KP2FDISYZFCCDDUDN,A2UZCL6H1RWDSM,Approved,Sun Mar 30 10:54:01 GMT 2014,Sun Mar 30 10:57:08 GMT 2014,Sun Mar 30 15:57:08 PDT 2014,Sun Mar 30 12:03:18 PDT 2014,,,187,100% (78/78),100% (78/78),100% (78/78),2011855,Fourth,Home (left),73:35:00,"0,0,0,0,0,1,5,1,2,0,2,0,1,0","0,0","5,10",9,"7,16",,
3V0TR1NRV91O7VUHQUV66AETGBG4A0,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:46 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:46 GMT 2014,,,3TY7ZAOG5FJG74JW9NQVD5MVGX40K1,A2UZCL6H1RWDSM,Approved,Sun Mar 30 08:30:52 GMT 2014,Sun Mar 30 08:35:56 GMT 2014,Sun Mar 30 13:35:56 PDT 2014,Sun Mar 30 12:03:18 PDT 2014,,,304,100% (78/78),100% (78/78),100% (78/78),2011855,Fifth,Home (left),57:46:00,"0,0,0,3,0,3,2,8,2,2,1,0,0,0","2,2","13,16",13,"6,12",,
3J9L0X0VDELMBE3W8UNP57M0UMWW9Y,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,31LVTDXBL79FR4LDO0LBC10XENARLV,A2UZCL6H1RWDSM,Approved,Sun Mar 30 09:59:03 GMT 2014,Sun Mar 30 10:01:30 GMT 2014,Sun Mar 30 15:01:30 PDT 2014,Sun Mar 30 12:03:18 PDT 2014,,,147,100% (78/78),100% (78/78),100% (78/78),2011855,Sixth,Home (left),57:42:00,"0,3,5,4,0,0,5,0,0,2,1,0,0,0","1,1","14,16",15,"5,9",,
3NZ1E5QA6Y0BMO39ADEC6D4DYPV5B0,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,37TRT2X24QQMG7GOPIN8W7I1SCVBJT,A3KM47JBFMVT44,Approved,Sun Mar 30 03:59:54 GMT 2014,Sun Mar 30 04:09:16 GMT 2014,Sun Mar 30 16:09:16 GMT 2014,2014/03/30 16:12:34 +0000,,,562,100% (4/4),100% (4/4),100% (4/4),2011855,Seventh,Home (left),93:06:00,"0,3,3,2,5,4,0,7,4,0,8,0,2,2","0,1","26,31",21,"14,19",,
3P4ZBJFX2U2VCOU9BGNHF38BXKRFW9,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,36V4Q8R5ZKZZLLOYBXXQ7O5HI6WMQP,A2UZCL6H1RWDSM,Approved,Sun Mar 30 08:01:56 GMT 2014,Sun Mar 30 08:09:26 GMT 2014,Sun Mar 30 13:09:26 PDT 2014,Sun Mar 30 12:03:19 PDT 2014,,,450,100% (78/78),100% (78/78),100% (78/78),2011855,Eighth,Home (left),93:06:00,"3,8,0,2,11,1,5,0,3,6,5,0,1,2","11,12","27,31",22,"9,16",,
3QI9WAYOGPA6MEKPQIACO8SDY8T6SJ,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,3NGMS9VZTLHWOM68BUIJ0ZHUE3EFFK,A2UZCL6H1RWDSM,Approved,Sun Mar 30 09:54:04 GMT 2014,Sun Mar 30 09:58:10 GMT 2014,Sun Mar 30 14:58:10 PDT 2014,Sun Mar 30 12:03:19 PDT 2014,,,246,100% (78/78),100% (78/78),100% (78/78),2011855,Ninth,Home (left),93:06:00,"0,5,1,2,0,0,6,1,0,3,9,1,2,1","0,1","25,25",25,"6,8",,
3VMHWJRYHUFA1OZZLLJ3HMMI6MXFX2,3PS3UFWQYK3GUB21B5BG25040P3RY6,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Sat Mar 29 22:18:47 GMT 2014,1,BatchId:1474297;,3600,43200,Sat Apr 05 22:18:47 GMT 2014,,,3STRJBFXOWQHNDGN7PE5XGO0D8WTK1,A3KM47JBFMVT44,Approved,Sun Mar 30 04:29:46 GMT 2014,Sun Mar 30 04:32:17 GMT 2014,Sun Mar 30 16:32:17 GMT 2014,2014/03/30 16:32:34 +0000,,,151,100% (4/4),100% (4/4),100% (4/4),2011855,Tenth,Home (left),52:20:00,"2,2,0,0,2,0,2,2,1,0,8,0,0,0","1,1","14,21",26,"4,7",,
