HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gid,Input.number,Input.side,Answer.TP,Answer.distro,Answer.long,Answer.medium,Answer.player,Answer.short,Approve,Reject
3RQVKZ7ZRJIWLFHWFD0Y34F5W3027Q,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:09:43 GMT 2014,2,BatchId:1494745;,3600,2592000,Wed May 28 19:23:33 GMT 2014,,,31Q0U3WYDPESJEXUMC5MN50JGQL71N,A2BKNL5H4WBQT9,Submitted,Tue Apr 29 17:30:16 GMT 2014,Tue Apr 29 17:32:12 GMT 2014,Thu May 29 10:32:12 PDT 2014,,,,116,98% (321/327),98% (321/327),100% (169/169),2011856,Eleventh,Away (right),60:55:00,"0,0,4,5,9,1,7,0,2,3,0,0,0","1,2","19,21",25,"11,16",x,
34HEO7RUG5TV81WF16RJE3P393LRAK,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:09:42 GMT 2014,1,BatchId:1494745;,3600,2592000,Thu May 15 02:09:42 GMT 2014,,,3A7Y0R2P2ONTTAJPUEFQL49TCBYXJW,A2HREHCX83B8NF,Submitted,Tue Apr 15 03:06:51 GMT 2014,Tue Apr 15 03:09:29 GMT 2014,Wed May 14 20:09:29 PDT 2014,,,,158,92% (133/145),92% (133/145),100% (71/71),2011853,Eighth,Away (right),93:36:00,"1,0,0,3,4,0,4,0,3,2,0,8,0,0","4,5","16,21",15,"5,11",x,
3HEM8MA6H8B2J4NHDAKGZ84TC3LQP0,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:10:59 GMT 2014,2,BatchId:1494745;,3600,2592000,Sun May 18 19:33:09 GMT 2014,,,3YGXWBAF70GFNUP90BWZ1PZ0T2JC4T,A2BKNL5H4WBQT9,Submitted,Sat Apr 19 02:01:49 GMT 2014,Sat Apr 19 02:03:42 GMT 2014,Sun May 18 19:03:42 PDT 2014,,,,113,98% (321/327),98% (321/327),100% (169/169),2011843,First,Home (left),95:43:00,"0,0,1,1,2,3,0,3,1,0,2,1,0,3","14,25","3,5",13,"0,0",x,
32TMVRKDGMXAO712TWBSAJ8YR1384G,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:10:53 GMT 2014,2,BatchId:1494745;,3600,2592000,Wed May 28 05:03:24 GMT 2014,,,32Q90QCQ1SKFYUYQHUPAYUOZBFWKEO,A2EPRPJA681I8X,Submitted,Mon Apr 28 06:29:04 GMT 2014,Mon Apr 28 06:30:16 GMT 2014,Tue May 27 23:30:16 PDT 2014,,,,72,90% (195/217),90% (195/217),97% (138/143),2011840,First,Home (left),94:00:00,"0,1,1,2,2,0,1,0,4,1,3,0,0,1","9,12","7,7",23,"0,0",x,
37VE3DA4YTGN2HN4BFFLVA734CBBH5,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:10:53 GMT 2014,2,BatchId:1494745;,3600,2592000,Sun May 18 19:33:15 GMT 2014,,,33PPO7FECVEJ0TU2LWTEFWR1JKWDI9,A2BKNL5H4WBQT9,Submitted,Sat Apr 19 02:25:56 GMT 2014,Sat Apr 19 02:27:55 GMT 2014,Sun May 18 19:27:55 PDT 2014,,,,119,98% (321/327),98% (321/327),100% (169/169),2011840,Second,Home (left),94:00:00,"3,0,4,25,3,1,7,13,2,8,1,1,1,0","5,9","54,62",2,"10,19",x,
3G3AJKPCXKRP3DSK609M9WW0KG64YQ,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:10:53 GMT 2014,1,BatchId:1494745;,3600,2592000,Thu May 15 02:10:53 GMT 2014,,,36AHBNMV1RB5QT97PEFH1KLP9X3DYC,AJ11RZOXVLY0S,Submitted,Tue Apr 15 07:50:36 GMT 2014,Tue Apr 15 07:51:08 GMT 2014,Thu May 15 00:51:08 PDT 2014,,,,32,94% (47/50),94% (47/50),97% (38/39),2011840,Third,Home (left),94:00:00,"2,4,0,3,13,6,6,18,2,4,16,2,4,7","3,4","61,67",3,"23,28",x,
3OPLMF3EU4MRPMVR5QZSEX042IXNLC,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:10:53 GMT 2014,2,BatchId:1494745;,3600,2592000,Wed May 28 05:03:24 GMT 2014,,,3Y5140Z9DXFSPQXSQ5K9FQ8QXI8IPV,A2EPRPJA681I8X,Submitted,Mon Apr 28 06:31:26 GMT 2014,Mon Apr 28 06:32:47 GMT 2014,Tue May 27 23:32:47 PDT 2014,,,,81,90% (195/217),90% (195/217),97% (138/143),2011840,Fourth,Home (left),94:00:00,"4,19,4,0,5,3,13,3,3,3,29,0,0,1","22,29","59,66",4,"6,13",x,
3FHTJGYT8MZB6FT3AEF45U0R6GDGPW,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:10:53 GMT 2014,2,BatchId:1494745;,3600,2592000,Sun May 18 19:33:18 GMT 2014,,,3MAOD8E57Q9PC0AA9C7IEBQAL15NX4,A14KNE5P51G6ST,Submitted,Sat Apr 19 04:23:55 GMT 2014,Sat Apr 19 04:26:26 GMT 2014,Sun May 18 21:26:26 PDT 2014,,,,151,89% (17/19),89% (17/19),100% (13/13),2011840,Fifth,Home (left),94:00:00,"0,5,9,18,0,8,3,5,4,2,12,1,3,1","12,15","47,53",8,"12,14",x,
3BVS8WK9QZUNYCYOHXX6VM8I4PQBIY,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:10:53 GMT 2014,1,BatchId:1494745;,3600,2592000,Thu May 15 02:10:53 GMT 2014,,,3MB8LZR5BFST408IYGCEBPEJKRVKL3,A1VY481LK5QTO7,Submitted,Tue Apr 15 07:29:34 GMT 2014,Tue Apr 15 07:31:08 GMT 2014,Thu May 15 00:31:08 PDT 2014,,,,94,97% (56/58),97% (56/58),100% (44/44),2011840,Sixth,Home (left),66:07:00,"0,1,6,2,5,0,1,8,2,4,0,0,0,0","2,6","17,28",11,"10,12",x,
30Z7M1Q8UXJPQWHJ2XLJNMUYJBZA8T,3MCSZWKJ0Y6QIMTE7S19DNYYXHR610,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.05 ,Tue Apr 15 02:10:53 GMT 2014,1,BatchId:1494745;,3600,2592000,Thu May 15 02:10:53 GMT 2014,,,3OF2M9AATGND9PPMDH3NJ4PHZ03KZM,A9FFF0ZDBFB3B,Submitted,Tue Apr 15 07:40:00 GMT 2014,Tue Apr 15 08:15:44 GMT 2014,Thu May 15 01:15:44 PDT 2014,,,,2144,100% (52/52),100% (52/52),100% (37/37),2011840,Seventh,Home (left),73:52:00,"1,6,6,9,8,8,0,2,1,8,5,0,1,0","6,7","40,41",12,"9,14",x,
