HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gid,Input.number,Input.side,Answer:TP,Answer.distro,Answer.long,Answer.medium,Answer.player,Answer.short,Approve,Reject
31YWE12TEZBXMVKT32LRTU9183GX7S,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:49 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:49 GMT 2014,,,3QECW5O0KH0E5UVK02AZVR5IGV3T58,A3SDTZGK1I0Z10,Submitted,Sat Apr 05 09:36:29 GMT 2014,Sat Apr 05 09:38:43 GMT 2014,Sat Apr 12 02:38:43 PDT 2014,,,,134,63% (22/35),63% (22/35),63% (22/35),2011781,Eighth,Away (right),94:18:00,"0,2,3,3,2,1,1,0,3,2,4,1,0,2","2,4","12,25",25,"10,12",,
3FDWKV9VCM1OQUXL23CTS57N9AUUM8,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:49 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:49 GMT 2014,,,388U7OUMF702U8WRZ7ZSEH89B2VR08,A3SDTZGK1I0Z10,Submitted,Sat Apr 05 09:56:48 GMT 2014,Sat Apr 05 09:59:02 GMT 2014,Sat Apr 12 02:59:02 PDT 2014,,,,134,63% (22/35),63% (22/35),63% (22/35),2011781,Tenth,Away (right),76:19:00,"1,4,8,12,6,4,2,1,0,10,0,0,0","3,4","36,40",31,"11,13",,
3VQTAXTYN2KS73TOBEMKEPWTXBQBU0,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,3OS4RQUCR9E6B5US6SWNH9Q9ZIHBFJ,A2BKNL5H4WBQT9,Submitted,Sat Apr 05 08:30:54 GMT 2014,Sat Apr 05 08:32:31 GMT 2014,Sat Apr 12 01:32:31 PDT 2014,,,,97,95% (37/39),95% (37/39),95% (37/39),2011758,First,Home (left),93:15:00,"0,8,6,0,1,6,2,3,1,1,3,4,0,0","18,20","15,16",1,"2,2",x,
36AZSFEYZ3ZSKIIOG4WPABYCBIZBVP,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,3W2LOLRXLBE47Y3V309AX1NIP0QRK3,A2HREHCX83B8NF,Submitted,Sat Apr 05 02:44:40 GMT 2014,Sat Apr 05 02:47:43 GMT 2014,Fri Apr 11 19:47:43 PDT 2014,,,,183,78% (14/18),78% (14/18),78% (14/18),2011758,Second,Home (left),93:15:00,"2,0,15,1,4,1,6,3,3,3,12,0,0,2","11,12","33,39",3,"8,8",x,
3IKMEYR0LVUKGUOGY7P779KR1EFK2A,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,2,BatchId:1481630;,3600,604800,Tue Apr 22 02:09:01 GMT 2014,,,3OUYGIZWR7XHIVGCMFV39M8UAPR0PJ,ARXQ6JB64AUJE,Submitted,Tue Apr 08 05:08:08 GMT 2014,Tue Apr 08 05:11:22 GMT 2014,Mon Apr 14 22:11:22 PDT 2014,,,,194,81% (135/166),81% (135/166),75% (89/119),2011758,Third,Home (left),93:15:00,"4,12,0,6,11,1,2,13,6,4,2,0, 2,0","7,7","52,56",4,"4,7",x,
3HXCEECSQLS56AG9RTZC3S99K2NZYS,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,3FFJ6VRIL1NP19T89K5J0P7IO6BI0U,A2BKNL5H4WBQT9,Submitted,Sat Apr 05 08:11:46 GMT 2014,Sat Apr 05 08:13:14 GMT 2014,Sat Apr 12 01:13:14 PDT 2014,,,,88,95% (37/39),95% (37/39),95% (37/39),2011758,Fourth,Home (left),48:33:00,"0,0,3,0,2,4,1,3,4,4,0,0,0,0","0,1","16,18",9,"5,5",x,
3CKVGCS3PF4B83YAOTUVF7IMLA8S0F,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,34T446B1C0DYO678HA9XPM9NB1RC0M,ARXQ6JB64AUJE,Submitted,Sat Apr 05 07:49:51 GMT 2014,Sat Apr 05 07:54:13 GMT 2014,Sat Apr 12 00:54:13 PDT 2014,,,,262,81% (135/166),81% (135/166),75% (89/119),2011758,Fifth,Home (left),93:15:00,"1,3,7,4,0,4,3,10,5,5,2,1,4,2","3,4","42,49",10,"6,7",x,
3G3AJKPCXKRP3DSK609M9WW0J7JY4E,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,35USIKEBNRFCTLQE8PYSEYDQN8S6N0,ARXQ6JB64AUJE,Submitted,Sat Apr 05 08:44:32 GMT 2014,Sat Apr 05 08:46:24 GMT 2014,Sat Apr 12 01:46:24 PDT 2014,,,,112,81% (135/166),81% (135/166),75% (89/119),2011758,Sixth,Home (left),59:55:00,"0,1,1,5,2,0,3,1,0, 4,0,0,0,0","0,0","10,14",12,"7,10",x,
3I01FDIL6L7C2OI66Q3K3WP1H5JD2R,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,3F1567XTNW4KE154MOTL22ZXIKLQ9G,ATN5M0LQEEYGU,Submitted,Sat Apr 05 07:40:52 GMT 2014,Sat Apr 05 07:43:17 GMT 2014,Sat Apr 12 00:43:17 PDT 2014,,,,145,96% (55/57),96% (55/57),96% (55/57),2011758,Seventh,Home (left),74:18:00,"0,1,0,1,3,1,0,4,1,6,8,0,1,0","2,4","12,17",14,"12,14",x,
329E6HTMSV191CKZ273CQJPJ7SFK3L,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,2,BatchId:1481630;,3600,604800,Wed Apr 23 01:17:55 GMT 2014,,,3TXMY6UCAENMCZC7Y83C4S05OCDQC0,ARXQ6JB64AUJE,Submitted,Wed Apr 09 05:33:29 GMT 2014,Wed Apr 09 05:41:07 GMT 2014,Tue Apr 15 22:41:07 PDT 2014,,,,458,81% (135/166),81% (135/166),75% (89/119),2011758,Eighth,Home (left),93:15:00,"1,9,13,4,5,3,2,0,5,14,9,0,2,1","9,10","50,56",16,"9,13",x,
