HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gid,Input.number,Input.side,Answer.TP,"Answer,distro",Answer.long,"Answer,medium",Answer.player,"Answer,short",Approve,Reject
31YWE12TEZBXMVKT32LRTU9183GX7S,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:49 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:49 GMT 2014,,,3QECW5O0KH0E5UVK02AZVR5IGV3T58,A3SDTZGK1I0Z10,Submitted,Sat Apr 05 09:36:29 GMT 2014,Sat Apr 05 09:38:43 GMT 2014,Sat Apr 12 02:38:43 PDT 2014,,,,134,0% (0/1),0% (0/1),0% (0/1),2011781,Eighth,Away (right),94:18:00,"0,2,3,3,2,1,1,0,3,2,4,1,0,2","2,4","12,25",25,"10,12",,
3FDWKV9VCM1OQUXL23CTS57N9AUUM8,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:49 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:49 GMT 2014,,,388U7OUMF702U8WRZ7ZSEH89B2VR08,A3SDTZGK1I0Z10,Submitted,Sat Apr 05 09:56:48 GMT 2014,Sat Apr 05 09:59:02 GMT 2014,Sat Apr 12 02:59:02 PDT 2014,,,,134,0% (0/1),0% (0/1),0% (0/1),2011781,Tenth,Away (right),76:19:00,"1,4,8,12,6,4,2,1,0,10,0,0,0","3,4","36,40",31,"11,13",,
3VQTAXTYN2KS73TOBEMKEPWTXBQBU0,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,3OS4RQUCR9E6B5US6SWNH9Q9ZIHBFJ,A2BKNL5H4WBQT9,Submitted,Sat Apr 05 08:30:54 GMT 2014,Sat Apr 05 08:32:31 GMT 2014,Sat Apr 12 01:32:31 PDT 2014,,,,97,0% (0/1),0% (0/1),0% (0/1),2011758,First,Home (left),93:15:00,"0,8,6,0,1,6,2,3,1,1,3,4,0,0","18,20","15,16",1,"2,2",,
36AZSFEYZ3ZSKIIOG4WPABYCBIZBVP,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,3W2LOLRXLBE47Y3V309AX1NIP0QRK3,A2HREHCX83B8NF,Submitted,Sat Apr 05 02:44:40 GMT 2014,Sat Apr 05 02:47:43 GMT 2014,Fri Apr 11 19:47:43 PDT 2014,,,,183,0% (0/0),0% (0/0),0% (0/0),2011758,Second,Home (left),93:15:00,"2,0,15,1,4,1,6,3,3,3,12,0,0,2","11,12","33,39",3,"8,8",,
3IKMEYR0LVUKGUOGY7P779KR1EFK2A,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,3K3R2QNK8B2C6UCL3XDQC3WML429UD,A33JGDPXCUCA5E,Submitted,Fri Apr 04 21:00:42 GMT 2014,Fri Apr 04 21:04:05 GMT 2014,Fri Apr 11 14:04:05 PDT 2014,,,,203,0% (0/5),0% (0/5),0% (0/5),2011758,Third,Home (left),93:15:00,"4,12,6,11,1,2,13,6,4,2,2","7,7","52,56",4,"4,7",,Data Error
3HXCEECSQLS56AG9RTZC3S99K2NZYS,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,3FFJ6VRIL1NP19T89K5J0P7IO6BI0U,A2BKNL5H4WBQT9,Submitted,Sat Apr 05 08:11:46 GMT 2014,Sat Apr 05 08:13:14 GMT 2014,Sat Apr 12 01:13:14 PDT 2014,,,,88,0% (0/1),0% (0/1),0% (0/1),2011758,Fourth,Home (left),48:33:00,"0,0,3,0,2,4,1,3,4,4,0,0,0,0","0,1","16,18",9,"5,5",,
3CKVGCS3PF4B83YAOTUVF7IMLA8S0F,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,34T446B1C0DYO678HA9XPM9NB1RC0M,ARXQ6JB64AUJE,Submitted,Sat Apr 05 07:49:51 GMT 2014,Sat Apr 05 07:54:13 GMT 2014,Sat Apr 12 00:54:13 PDT 2014,,,,262,75% (46/61),75% (46/61),7% (1/15),2011758,Fifth,Home (left),93:15:00,"1,3,7,4,0,4,3,10,5,5,2,1,4,2","3,4","42,49",10,"6,7",,
3G3AJKPCXKRP3DSK609M9WW0J7JY4E,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,35USIKEBNRFCTLQE8PYSEYDQN8S6N0,ARXQ6JB64AUJE,Submitted,Sat Apr 05 08:44:32 GMT 2014,Sat Apr 05 08:46:24 GMT 2014,Sat Apr 12 01:46:24 PDT 2014,,,,112,75% (46/61),75% (46/61),7% (1/15),2011758,Sixth,Home (left),59:55:00,"0,1,1,5,2,0,3,1,0, 4,0,0,0,0","0,0","10,14",12,"7,10",,
3I01FDIL6L7C2OI66Q3K3WP1H5JD2R,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,3F1567XTNW4KE154MOTL22ZXIKLQ9G,ATN5M0LQEEYGU,Submitted,Sat Apr 05 07:40:52 GMT 2014,Sat Apr 05 07:43:17 GMT 2014,Sat Apr 12 00:43:17 PDT 2014,,,,145,0% (0/0),0% (0/0),0% (0/0),2011758,Seventh,Home (left),74:18:00,"0,1,0,1,3,1,0,4,1,6,8,0,1,0","2,4","12,17",14,"12,14",,
329E6HTMSV191CKZ273CQJPJ7SFK3L,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:40 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:40 GMT 2014,,,31UV0MXWNQBOWGF96QBVHK395EJI5C,A3SDTZGK1I0Z10,Submitted,Sat Apr 05 06:09:05 GMT 2014,Sat Apr 05 06:11:36 GMT 2014,Fri Apr 11 23:11:36 PDT 2014,,,,151,0% (0/1),0% (0/1),0% (0/1),2011758,Eighth,Home (left),93:15:00,"1,9,13,4 ,5 ,3 ,2 ,5 ,14 ,9 0,2 ,1","9,10","50,56",16,"9,13",,
