HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.gid,Input.number,Input.side,Answer:TP,"Answer,distro",Answer.long,"Answer,medium",Answer.player,"Answer,short",,
3PR3LXCWSEY10E8MIZJB7Q073T4X94,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:51 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:51 GMT 2014,,,3I0BTBYZAXKBR98DD2RMMD16EPCY0J,A2243K88W25QKB,Submitted,Sat Apr 05 10:56:00 GMT 2014,Sat Apr 05 10:58:11 GMT 2014,Sat Apr 12 03:58:11 PDT 2014,,,,131,88% (14/16),88% (14/16),88% (14/16),2011739,Second,Away (right),96:09:00,"6,0,0,6,1,3,1,1,9,1,4,0,0,0","5,9","24,27",4,"3,7",,Delete
3YOAVL4CAZGP832P2MB5N352P1P4ZD,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:51 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:51 GMT 2014,,,3YW4XOSQKQKUHP9QZKYXXXE3NSD1UV,A3KQFVZH19T2IT,Submitted,Fri Apr 04 20:42:53 GMT 2014,Fri Apr 04 20:43:25 GMT 2014,Fri Apr 11 13:43:25 PDT 2014,,,,32,91% (10/11),91% (10/11),91% (10/11),2011739,Third,Away (right),85:53:00,"0,0,0,0,3,3,1,7,1,0,0,0,0,0","1,4","7,16",11,"7,14",,Delete
3GL25Y6842TG7YRG78NGCC6R3SBMXS,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:50 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:50 GMT 2014,,,33ISQZVXPPLIIY2OTQ2HKNBOKQLCCC,A3O8YXPG1HGUH0,Submitted,Sat Apr 05 05:56:32 GMT 2014,Sat Apr 05 05:57:44 GMT 2014,Fri Apr 11 22:57:44 PDT 2014,,,,72,100% (7/7),100% (7/7),100% (7/7),2011739,First,Away (right),96:09:00,"0,1,0,5,0,0,2,0,2,1,0,0,0,0","6,27","5,7",13,"0,0",,
3EGKVCRQFVR9OCDTLFJ9HA26TZ1BYY,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:51 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:51 GMT 2014,,,3Y54SXRO1LKVQ9LZ13I733XYFCYTUS,A2243K88W25QKB,Submitted,Sat Apr 05 11:24:10 GMT 2014,Sat Apr 05 11:25:13 GMT 2014,Sat Apr 12 04:25:13 PDT 2014,,,,63,88% (14/16),88% (14/16),88% (14/16),2011739,Fourth,Away (right),96:09:00,"2,8,2,0,2,9,5,4,4,1,1,1,0,0","9,14","24,28",14,"6,8",,
3SU800BH85RFB9VDUWJA9ERSJBRUQV,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:51 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:51 GMT 2014,,,3X3OR7WPZZZ99Z6HPRFBLK5SO8K8LO,A2BKNL5H4WBQT9,Submitted,Sat Apr 05 10:16:41 GMT 2014,Sat Apr 05 10:18:22 GMT 2014,Sat Apr 12 03:18:22 PDT 2014,,,,101,93% (25/27),93% (25/27),93% (25/27),2011739,Fifth,Away (right),82:34:00,"0,0,2,0,0,1,2,1,1,3,0,0,0,0","0,2","7,10",16,"3,6",,
3WRAAIUSBIYF5XIRA5XB3LBR9BMXAJ,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:51 GMT 2014,2,BatchId:1481630;,3600,604800,Tue Apr 22 02:09:03 GMT 2014,,,3YOH7BII096W05KCCKEKYYCLABAVKH,ATN5M0LQEEYGU,Submitted,Tue Apr 08 08:01:18 GMT 2014,Tue Apr 08 08:07:16 GMT 2014,Tue Apr 15 01:07:16 PDT 2014,,,,358,95% (41/43),95% (41/43),95% (41/43),2011739,Sixth,Away (right),96:09:00,"0,1,7,6,3,0,4,2,8,2,1,0,1,0","6,10","19,27",17,"10,16",,
3YLTXLH3DE5P6BOEUKXMQUCSK73PHY,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:51 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:51 GMT 2014,,,3IX2EGZR7BI9WEXDLF9YWMN5AB1RJF,A2BKNL5H4WBQT9,Submitted,Sat Apr 05 10:10:51 GMT 2014,Sat Apr 05 10:12:48 GMT 2014,Sat Apr 12 03:12:48 PDT 2014,,,,117,93% (25/27),93% (25/27),93% (25/27),2011739,Seventh,Away (right),96:09:00,"0,2,5,2,2,5,0,1,4,7,1,1,1,0","2,4","19,22",19,"10,15",,
3JGHED38ECQMM0A38Y7TC8GAA99Y7Y,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:51 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:51 GMT 2014,,,33IZTU6J810MSD2FH8O4D50G7B0SXT,A3SDTZGK1I0Z10,Submitted,Sat Apr 05 10:17:04 GMT 2014,Sat Apr 05 10:19:38 GMT 2014,Sat Apr 12 03:19:38 PDT 2014,,,,154,56% (15/27),56% (15/27),56% (15/27),2011739,Eighth,Away (right),96:09:00,"0,0,8,5,1,2,2,0,0,1,0,1,1,0","1,5","15,28",22,"5,18",,
3Y3N5A7N4F8573HQC49IVQD05Y5MYY,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:51 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:51 GMT 2014,,,3RRCEFRB7MBWDPX3MB04Q5TIASAB4X,A2243K88W25QKB,Submitted,Sat Apr 05 11:17:33 GMT 2014,Sat Apr 05 11:19:07 GMT 2014,Sat Apr 12 04:19:07 PDT 2014,,,,94,88% (14/16),88% (14/16),88% (14/16),2011739,Ninth,Away (right),96:09:00,"1,7,5,3,4,6,6,2,0,6,3,0,1,0","4,7","32,35",25,"8,10",,
36FFXPMST8N7LBCDFKK71U72A27HO9,3LF081349XDS00TOYP4QOECAIPT0MU,Extract UEFA Champions League passing distribution data,UEFA publishes data on number of passes between players in each Champions League game. I would like data to be extracted from these PDF files.,"data collection, soccer, football, sports, transcribe, extract, transcription, numbers, easy, categorize",$0.04 ,Fri Apr 04 20:30:52 GMT 2014,1,BatchId:1481630;,3600,604800,Fri Apr 18 20:30:52 GMT 2014,,,3QIYRE09Y3GHMZPH2JMBJ2M9FXB1NW,A2BKNL5H4WBQT9,Submitted,Sat Apr 05 08:19:30 GMT 2014,Sat Apr 05 08:21:08 GMT 2014,Sat Apr 12 01:21:08 PDT 2014,,,,98,93% (25/27),93% (25/27),93% (25/27),2011739,Tenth,Away (right),91:44:00,"0,0,2,0,3,1,2,1,1,0,8,1,0,0","1,1","10,17",28,"8,18",,
