gid,number,side
2011739,Tenth,Home (left)
2011739,Eleventh,Home (left)
2011743,Fifth,Home (left)
2011743,Eleventh,Home (left)
2011744,Ninth,Home (left)
2011744,Second,Away (right)
2011744,Fourth,Away (right)
2011745,Fourth,Away (right)
2011746,Sixth,Away (right)
2011748,Tenth,Home (left)
2011749,Fourth,Away (right)
2011749,Eleventh,Away (right)
2011753,Second,Away (right)
2011781,Seventh,Away (right)
2011853,Eighth,Away (right)
2011856,Eleventh,Away (right)
2011866,Fifth,Away (right)
2011759,First,Home (left)
2011759,Second,Home (left)
2011759,Third,Home (left)
2011759,Fourth,Home (left)
2011759,Fifth,Home (left)
2011759,Sixth,Home (left)
2011759,Seventh,Home (left)
2011759,Eighth,Home (left)
2011759,Ninth,Home (left)
2011759,Tenth,Home (left)
2011759,Eleventh,Home (left)
2011759,First,Away (right)
2011759,Second,Away (right)
2011759,Third,Away (right)
2011759,Fourth,Away (right)
2011759,Fifth,Away (right)
2011759,Sixth,Away (right)
2011759,Seventh,Away (right)
2011759,Eighth,Away (right)
2011759,Ninth,Away (right)
2011759,Tenth,Away (right)
2011759,Eleventh,Away (right)
2011760,First,Home (left)
2011760,Second,Home (left)
2011760,Third,Home (left)
2011760,Fourth,Home (left)
2011760,Fifth,Home (left)
2011760,Sixth,Home (left)
2011760,Seventh,Home (left)
2011760,Eighth,Home (left)
2011760,Ninth,Home (left)
2011760,Tenth,Home (left)
2011760,Eleventh,Home (left)
2011760,First,Away (right)
2011760,Second,Away (right)
2011760,Third,Away (right)
2011760,Fourth,Away (right)
2011760,Fifth,Away (right)
2011760,Sixth,Away (right)
2011760,Seventh,Away (right)
2011760,Eighth,Away (right)
2011760,Ninth,Away (right)
2011760,Tenth,Away (right)
2011760,Eleventh,Away (right)
2011761,First,Home (left)
2011761,Second,Home (left)
2011761,Third,Home (left)
2011761,Fourth,Home (left)
2011761,Fifth,Home (left)
2011761,Sixth,Home (left)
2011761,Seventh,Home (left)
2011761,Eighth,Home (left)
2011761,Ninth,Home (left)
2011761,Tenth,Home (left)
2011761,Eleventh,Home (left)
2011761,First,Away (right)
2011761,Second,Away (right)
2011761,Third,Away (right)
2011761,Fourth,Away (right)
2011761,Fifth,Away (right)
2011761,Sixth,Away (right)
2011761,Seventh,Away (right)
2011761,Eighth,Away (right)
2011761,Ninth,Away (right)
2011761,Tenth,Away (right)
2011761,Eleventh,Away (right)
2011762,First,Home (left)
2011762,Second,Home (left)
2011762,Third,Home (left)
2011762,Fourth,Home (left)
2011762,Fifth,Home (left)
2011762,Sixth,Home (left)
2011762,Seventh,Home (left)
2011762,Eighth,Home (left)
2011762,Ninth,Home (left)
2011762,Tenth,Home (left)
2011762,Eleventh,Home (left)
2011762,First,Away (right)
2011762,Second,Away (right)
2011762,Third,Away (right)
